ScanID, DateTime, NIR_Pol, NIR_Brix, NIR_Fibre, NIR_Ash, GH, NH
15808.12,2023-02-21 20:51:54,72.8397,19.7785,16.361,3.1336,0.38681,0.32155
15808.13,2023-02-21 20:52:32,76.632,20.3431,15.7277,2.6813,0.41361,0.1467
15808.14,2023-02-21 20:53:08,74.4741,20.0013,15.6143,3.121,0.78221,0.05269
15808.15,2023-02-21 20:53:46,76.0513,20.4672,15.4078,2.7582,0.76248,0.15267
15809.01,2023-02-21 20:55:26,75.8072,20.3131,15.8527,3.0618,0.52496,0.25217
15809.02,2023-02-21 20:56:04,78.4892,20.6795,15.3721,2.5414,0.28985,0.18916
15809.03,2023-02-21 20:56:42,76.0791,19.8605,16.6029,2.8625,0.071072,0.32694
15809.04,2023-02-21 20:57:18,75.4967,20.0558,15.9532,2.7746,0.057993,0.060755
15809.05,2023-02-21 20:57:56,72.5372,19.4925,16.5911,2.9049,0.99747,0.02903
15809.06,2023-02-21 20:58:32,76.3169,19.9853,16.09,2.9541,0.62201,0.10253
15809.07,2023-02-21 20:59:10,75.2941,20.4438,16.5884,2.9648,0.34219,0.018233
15809.08,2023-02-21 20:59:46,78.0396,20.9059,16.0666,2.9443,0.1132,0.18325
15809.09,2023-02-21 21:00:24,76.2246,20.3529,16.3401,2.4207,0.32787,0.045116
15809.10,2023-02-21 21:01:01,81.3888,21.4819,15.739,2.2436,0.62397,0.17859
15809.11,2023-02-21 21:01:39,76.1659,20.2579,16.7469,3.0908,1.1535,0.176
15809.12,2023-02-21 21:02:16,75.0751,20.3164,17.3699,3.3168,0.62175,0.11024
15810.01,2023-02-21 21:04:15,81.6962,21.4715,14.2857,1.6095,-0.03397,0.27731
15810.02,2023-02-21 21:04:51,73.6869,19.8681,13.8145,1.426,0.79947,0.091844
15810.03,2023-02-21 21:05:28,80.0615,21.1856,14.3469,1.8549,0.78403,0.047324
15810.04,2023-02-21 21:06:05,82.3449,21.5777,14.8139,1.8494,0.69034,0.0057107
15810.05,2023-02-21 21:06:43,78.6225,20.932,14.0462,1.81,0.48228,0.27963
15811.01,2023-02-21 21:08:23,86.4046,22.3734,14.7726,2.0211,0.12391,0.32256
15811.02,2023-02-21 21:09:00,86.3051,22.2165,14.8993,2.1813,0.051987,0.063809
15811.03,2023-02-21 21:09:37,80.9259,21.2174,13.9935,1.9251,0.40162,0.095778
15811.04,2023-02-21 21:10:13,77.1581,20.4328,13.4462,2.0428,0.55641,0.13142
15811.05,2023-02-21 21:10:51,76.4346,20.6038,13.5729,1.6244,0.63997,0.32646
15811.06,2023-02-21 21:11:28,78.5378,20.5479,14.4379,1.8192,0.72335,0.17565
15811.07,2023-02-21 21:12:05,82.0267,21.493,13.8345,1.4096,0.23547,0.30645
15811.08,2023-02-21 21:12:44,79.6957,21.2535,13.753,1.6858,0.54074,0.28731
15811.09,2023-02-21 21:13:22,77.8001,20.6069,13.2998,1.0044,0.60206,0.12912
15811.10,2023-02-21 21:13:58,84.8129,22.1963,13.7571,1.5726,0.33355,0.20695
15811.11,2023-02-21 21:14:36,80.5663,20.9058,13.7115,1.7614,0.2655,0.088107
15811.12,2023-02-21 21:15:14,76.6995,20.4474,13.0582,1.5419,0.38359,0.19233
15811.13,2023-02-21 21:15:51,80.6611,21.2763,13.165,1.2681,0.30613,0.23601
15812.01,2023-02-21 21:17:32,82.5192,21.5376,14.6484,1.74,0.23539,0.028412
15812.02,2023-02-21 21:18:09,81.4813,21.3012,14.7695,1.6765,0.59376,0.054094
15812.03,2023-02-21 21:18:45,81.1479,21.2971,14.1501,1.9111,0.67644,0.27193
15812.04,2023-02-21 21:19:23,81.8476,21.2,15.0651,2.0513,-0.079916,0.13959
15812.05,2023-02-21 21:20:00,82.8616,21.5107,14.9009,2.376,0.24942,0.30353
15812.06,2023-02-21 21:20:37,79.3164,21.3196,14.5659,1.8061,0.35577,0.19279
15812.07,2023-02-21 21:21:15,81.8281,21.2767,14.4239,2.0787,0.59779,0.28875
15812.08,2023-02-21 21:21:52,80.8934,21.4074,15.1582,1.9852,0.76437,0.22872
15812.09,2023-02-21 21:22:30,81.5173,21.3662,14.9452,2.2813,0.12572,0.14837
15812.10,2023-02-21 21:23:07,83.837,21.5347,14.5488,1.9189,0.55463,0.26464
15812.11,2023-02-21 21:23:45,83.1932,21.519,14.7511,2.2828,0.24652,0.14963
15812.12,2023-02-21 21:24:22,80.1932,21.3214,14.7079,2.5156,0.26036,0.2108
15812.13,2023-02-21 21:25:00,77.9254,20.8414,14.4554,1.9799,0.65282,0.01758
15812.14,2023-02-21 21:25:37,79.6541,21.2333,15.6548,2.2114,0.57652,0.13938
15812.15,2023-02-21 21:26:14,81.3394,21.4323,15.3243,2.2642,-0.16965,0.078729
15812.16,2023-02-21 21:26:50,81.7635,21.6892,15.047,2.1968,0.80016,0.067975
15812.17,2023-02-21 21:27:28,80.7083,21.457,15.115,2.0727,0.83562,0.20898
15812.18,2023-02-21 21:28:05,83.8345,21.7254,15.0884,2.4282,-0.015118,0.117
15812.19,2023-02-21 21:28:42,81.7705,21.3706,15.7598,2.2867,0.20551,0.029582
15812.20,2023-02-21 21:29:19,81.9946,21.7451,14.9414,2.3223,0.077491,0.0020721
15812.21,2023-02-21 21:29:57,82.9076,21.7464,14.7227,2.3151,0.30593,0.23799
15812.22,2023-02-21 21:30:34,83.8015,22.1112,15.3044,2.1235,0.75454,0.18701
15812.23,2023-02-21 21:31:12,84.0201,21.9354,15.0186,2.0568,0.32872,0.033943
15812.24,2023-02-21 21:31:49,80.5126,21.1663,15.3791,2.1126,0.28447,0.19159
15812.25,2023-02-21 21:32:27,82.4245,21.7818,15.5238,2.0977,0.69572,0.2995
